"Date","Price","Open","High","Low","Vol.","Change %"
"09/23/2015","105.600","105.630","106.290","104.930","","0.00%"
"09/22/2015","105.600","105.070","106.020","104.390","","0.09%"
"09/21/2015","105.500","105.410","105.910","104.490","","0.00%"
"09/18/2015","105.500","105.840","106.450","104.580","","-0.80%"
"09/17/2015","106.350","105.840","106.390","105.800","","0.01%"
"09/16/2015","106.340","106.290","106.910","105.650","","0.13%"
"09/15/2015","106.200","106.000","106.840","105.640","","-0.28%"
"09/14/2015","106.500","106.240","106.880","105.590","","-0.19%"
"09/11/2015","106.700","105.800","107.030","105.620","","0.39%"
"09/10/2015","106.290","105.700","107.310","105.700","","0.04%"
"09/09/2015","106.250","106.210","106.840","105.490","","-0.22%"
"09/08/2015","106.480","106.830","107.370","105.950","","-0.41%"
"09/07/2015","106.920","106.560","106.990","106.050","","0.55%"
"09/04/2015","106.340","105.840","106.920","105.350","","0.33%"
"09/03/2015","105.990","106.000","106.070","105.380","","0.08%"
"09/02/2015","105.910","106.110","106.610","105.290","","-0.04%"
"09/01/2015","105.950","106.320","106.330","105.400","","-0.39%"
"08/31/2015","106.370","106.000","106.880","105.430","","0.51%"
"08/28/2015","105.830","105.650","105.930","105.140","","0.15%"
"08/27/2015","105.670","105.500","105.840","104.890","","-0.59%"
"08/26/2015","106.300","105.950","106.700","105.220","","0.50%"
"08/25/2015","105.770","106.480","106.830","104.890","","-0.81%"
"08/24/2015","106.630","106.210","107.280","105.580","","1.65%"
"08/21/2015","104.900","105.170","105.960","104.400","","0.00%"
"08/20/2015","104.900","104.270","105.380","103.690","","0.45%"
"08/19/2015","104.430","104.670","105.190","103.680","","-0.31%"
"08/18/2015","104.750","104.250","104.800","104.200","","0.00%"
"08/17/2015","104.750","104.160","105.070","103.670","","0.34%"
"08/14/2015","104.400","104.400","104.980","103.440","","0.14%"
"08/13/2015","104.250","103.550","104.870","102.910","","0.19%"
"08/12/2015","104.050","103.310","104.390","102.820","","1.17%"
"08/11/2015","102.850","102.660","103.330","101.950","","0.39%"
"08/10/2015","102.450","102.000","102.810","101.470","","0.05%"
"08/07/2015","102.400","102.020","102.650","101.510","","0.36%"
"08/06/2015","102.030","102.030","102.600","101.460","","0.02%"
"08/05/2015","102.010","102.240","102.800","101.460","","-0.82%"
"08/04/2015","102.850","102.540","103.090","101.490","","0.00%"
"08/03/2015","102.850","102.420","103.150","101.780","","0.22%"
"07/31/2015","102.620","102.560","103.160","101.880","","0.15%"
"07/30/2015","102.470","102.340","102.970","101.770","","0.21%"
"07/29/2015","102.260","102.190","102.800","101.610","","-0.09%"
"07/28/2015","102.350","102.580","103.130","101.730","","-0.49%"
"07/27/2015","102.850","101.780","103.260","101.780","","0.80%"
"07/24/2015","102.030","101.720","102.980","101.530","","0.17%"
"07/23/2015","101.860","101.600","102.360","101.330","","0.11%"
"07/22/2015","101.750","101.630","101.930","101.120","","-0.54%"
"07/21/2015","102.300","101.480","102.500","101.160","","0.54%"
"07/20/2015","101.750","101.790","102.500","101.130","","-0.73%"
"07/17/2015","102.500","101.370","102.500","101.030","","0.00%"
"07/16/2015","102.500","101.250","102.500","101.030","","0.54%"
"07/15/2015","101.950","101.810","102.550","100.860","","0.13%"
"07/14/2015","101.820","102.310","102.320","100.930","","0.08%"
